task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	a0/ace116	9695	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-23 16:49:00.106	2.8s	1s	471.7%	7.5 MB	13.9 MB	1.8 MB	8.4 MB
16	83/806829	10089	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2023-10-23 16:49:02.937	9.5s	7s	275.9%	687.6 MB	4.3 GB	29.5 MB	3.8 MB
17	c6/17332e	10680	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2023-10-23 16:49:12.459	16.6s	14s	247.1%	1 GB	4.3 GB	60.2 MB	3.8 MB
18	7a/40b758	11540	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-23 16:49:29.051	8.8s	7s	302.5%	323.7 MB	4.4 GB	27.9 MB	3.7 MB
19	dd/79d952	12125	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2023-10-23 16:49:37.882	9.7s	7s	270.5%	381.7 MB	4.3 GB	26.8 MB	3.8 MB
20	1a/06aec3	12763	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-23 16:49:47.549	9.6s	7s	295.1%	359.5 MB	4.4 GB	33.6 MB	3.9 MB
21	50/f4ffdc	13404	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-23 16:49:57.200	4.1s	2s	79.2%	66.9 MB	9.9 GB	17.9 MB	16.7 KB
24	79/5bbbf3	13998	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-23 16:50:01.353	20.2s	18s	1174.4%	225.4 MB	1.9 GB	92.7 MB	84.6 MB
22	b0/ef4d31	15461	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2023-10-23 16:50:21.551	56.1s	54s	1200.0%	286.4 MB	1.9 GB	173.2 MB	163.5 MB
26	46/3e0320	17713	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-23 16:51:17.658	35.5s	34s	1185.3%	347.9 MB	2 GB	92.5 MB	83.1 MB
